Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
SZ,Swaziland,1995 b,M,  19.66,  44.53,44.2,  18.86,  144.02,3.4,  38.531,51.0,  94.87,20.7,13.1,NSO,IES,T,Youth: 15-24; Adult: 25+,
SZ,Swaziland,1997 b,M,  13.21,  31.7,41.7,  13.7,  103.0,3.1,  26.912,49.1,  93.58,14.1,13.3,NSO,PC,T,Youth: 15-24; Adult: 25+,
SE,Sweden,1980,M,  21.0,  370.0,5.7,  24.6, 2 003.0,4.6,  45.6,46.1,  512.0,4.1,1.2,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1981,M,  26.0,  358.0,7.3,  34.9, 1 991.0,4.1,  60.9,42.7,  519.0,5.0,1.8,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1982,M,  32.0,  359.0,8.9,  45.3, 1 993.0,3.9,  77.3,41.4,  525.0,6.1,2.3,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1983,M,  34.0,  356.0,9.6,  53.7, 1 990.0,3.5,  87.7,38.8,  532.0,6.4,2.7,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1984,M,  27.0,  353.0,7.6,  50.8, 1 986.0,3.0,  77.8,34.7,  537.0,5.0,2.6,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1985,M,  27.0,  360.0,7.5,  45.6, 1 989.0,3.3,  72.6,37.2,  540.0,5.0,2.3,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1986,M,  24.0,  358.0,6.7,  41.3, 1 997.0,3.2,  65.3,36.8,  543.0,4.4,2.1,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1987 b,M,  19.0,  363.0,5.2,  33.0, 1 985.0,3.1,  52.0,36.5,  546.0,3.5,1.7,OECD,LFS,T,Youth: 16-24; Adult: 25-74,"Reference period: Average of monthly estimates
Survey limitation: Questionnaire and definitions revised."
SE,Sweden,1988,M,  15.0,  371.0,4.0,  29.0, 1 997.0,2.8,  44.0,34.1,  548.0,2.7,1.5,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1989,M,  15.0,  380.0,3.9,  22.0, 2 022.0,3.6,  37.0,40.5,  548.0,2.7,1.1,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1990,M,  18.0,  377.0,4.8,  27.0, 2 047.0,3.6,  45.0,40.0,  544.0,3.3,1.3,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1991,M,  30.0,  353.0,8.5,  55.0, 2 067.0,3.2,  85.0,35.3,  536.0,5.6,2.7,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1992,M,  51.0,  315.0,16.2,  109.0, 2 062.0,3.1,  160.0,31.9,  525.0,9.7,5.3,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Average of monthly estimates
SE,Sweden,1993 b,M,  74.0,  284.0,26.1,  179.0, 2 045.0,3.0,  253.0,29.2,  515.0,14.4,8.8,OECD,LFS,T,Youth: 16-24; Adult: 25-74,"Reference period: Continuous survey
Survey limitation: Continuous survey introduced and definitions revised."
SE,Sweden,1994,M,  69.0,  274.0,25.2,  184.0, 2 051.0,2.8,  253.0,27.3,  510.0,13.5,9.0,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,1995 b,M,  55.0,  267.0,20.6,  175.0, 2 076.0,2.4,  230.0,23.9,  505.0,10.9,8.4,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,1996,M,  56.0,  259.0,21.6,  186.0, 2 086.0,2.4,  242.0,23.1,  499.0,11.2,8.9,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,1997,M,  55.0,  252.0,21.8,  187.0, 2 077.0,2.4,  242.0,22.7,  490.0,11.2,9.0,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,1998,M,  43.0,  248.0,17.3,  159.0, 2 082.0,2.3,  202.0,21.3,  482.0,8.9,7.6,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,1999,M,  37.0,  250.0,14.8,  136.0, 2 089.0,2.3,  173.0,21.4,  475.0,7.8,6.5,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2000,M,  31.0,  261.9,11.8,  116.0, 2 113.0,2.2,  147.0,21.1,  470.0,6.6,5.5,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2001,M,  33.0,  262.0,12.6,  94.0, 2 121.0,2.8,  127.0,26.0,  472.0,7.0,4.4,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2002,M,  35.0,  264.1,13.3,  100.0, 2 129.0,2.8,  135.0,25.9,  476.0,7.4,4.7,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2003,M,  37.0,  260.5,14.2,  114.0, 2 142.0,2.7,  151.0,24.5,  483.0,7.7,5.3,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2004,M,  45.1,  260.6,17.3,  120.2, 2 142.3,3.1,  165.3,27.3,  493.4,9.1,5.6,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2005,M,  62.3,  278.8,22.3,  130.3, 2 198.9,3.8,  192.6,32.3,  503.4,12.4,5.9,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2006,M,  60.5,  293.8,20.6,  110.6, 2 210.0,4.1,  171.1,35.4,  518.8,11.7,5.0,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2007,M,  55.9,  309.0,18.1,  91.3, 2 230.6,4.4,  147.2,38.0,  537.4,10.4,4.1,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2008,M,  60.4,  321.0,18.8,  89.0, 2 252.4,4.8,  149.4,40.4,  555.5,10.9,4.0,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2009,M,  83.851,  323.839,25.9,  138.578, 2 262.053,4.2,  222.429,37.7,  631.267,13.3,6.1,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
SE,Sweden,2010,M,  88.1,  330.4,26.7,  134.5, 2 293.9,4.5,  222.6,39.6,  638.4,13.8,5.9,OECD,LFS,T,Youth: 16-24; Adult: 25-74,Reference period: Continuous survey
CH,Switzerland,1990,M,  11.0,  354.0,3.1,  27.0, 1 862.0,2.1,  38.0,28.9,  495.0,2.2,1.5,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,
CH,Switzerland,1991 b,M,  10.0,  333.0,3.0,  16.0, 1 857.0,3.5,  26.0,38.5,  468.0,2.1,0.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1992,M,  16.0,  316.0,5.1,  34.0, 1 880.0,2.8,  50.0,32.0,  459.0,3.5,1.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1993,M,  22.0,  310.0,7.1,  45.0, 1 903.0,3.0,  67.0,32.8,  449.0,4.9,2.4,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1994,M,  15.0,  279.0,5.4,  61.0, 1 921.0,1.7,  76.0,19.7,  440.0,3.4,3.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1995,M,  16.0,  281.0,5.7,  49.0, 1 927.0,2.2,  65.0,24.6,  432.0,3.7,2.5,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1996,M,  15.0,  292.0,5.1,  60.0, 1 922.0,1.6,  75.0,20.0,  427.0,3.5,3.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1997,M,  23.0,  291.0,7.9,  71.0, 1 920.0,2.1,  94.0,24.5,  422.0,5.5,3.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1998,M,  13.0,  296.0,4.4,  57.0, 1 920.0,1.5,  70.0,18.6,  419.0,3.1,3.0,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,1999,M,  16.0,  285.0,5.6,  42.0, 1 931.0,2.6,  58.0,27.6,  419.0,3.8,2.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2000,M,  17.0,  297.0,5.7,  35.0, 1 928.0,3.2,  52.0,32.7,  421.0,4.0,1.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2001,M,  16.0,  291.0,5.5,  21.0, 1 937.0,5.1,  37.0,43.2,  425.0,3.8,1.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2002,M,  21.6,  301.4,7.2,  40.6, 1 935.7,3.4,  62.2,34.7,  428.2,5.0,2.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2003,M,  25.2,  304.7,8.3,  61.1, 1 958.8,2.7,  86.3,29.2,  432.7,5.8,3.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2004,M,  24.0,  299.0,8.0,  65.2, 1 963.4,2.4,  89.2,26.9,  438.8,5.5,3.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2005,M,  25.0,  295.8,8.5,  62.8, 1 964.2,2.6,  87.8,28.5,  444.2,5.6,3.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2006,M,  25.0,  315.2,7.9,  53.1, 1 976.7,3.0,  78.1,32.0,  449.4,5.6,2.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2007,M,  21.723,  318.86,6.8,  46.111, 2 008.208,3.0,  67.834,32.0,  454.36,4.8,2.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2008,M,  21.0,  314.3,6.7,  45.5, 2 041.2,3.0,  66.5,31.6,  461.6,4.5,2.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2009,M,  24.549,  309.137,7.9,  65.579, 2 085.371,2.5,  90.128,27.2,  467.685,5.2,3.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
CH,Switzerland,2010,M,  21.916,  320.609,6.8,  69.205, 2 104.771,2.1,  91.121,24.1,  469.412,4.7,3.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Second quarter
SY,Syrian Arab Republic,1983,M,  43.676,  487.0,9.0,  28.74, 1 416.2,4.4,  72.415,60.3, 1 680.4,2.6,2.0,LABORSTA,HS,C,Youth: 10-24; Adult: 25+,Reference period: Average of January and July
SY,Syrian Arab Republic,1984 b,M,  44.297,  528.7,8.4,  32.921, 1 457.6,3.7,  77.218,57.4,  851.5,5.2,2.3,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
SY,Syrian Arab Republic,1991,M,  40.76,,,  104.571,,,  145.331,28.0,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
SY,Syrian Arab Republic,2002,M,  292.075, 1 364.0,21.4,  63.725, 2 924.0,9.8,  355.8,82.1, 1 875.0,15.6,2.2,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
SY,Syrian Arab Republic,2003 b,M,  181.3, 1 162.6,15.6,  130.4, 2 857.4,3.4,  311.7,58.2, 1 900.0,9.5,4.6,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Survey limitation: Methodology revised; data not strictly comparable.
SY,Syrian Arab Republic,2006,M,  145.377, 1 143.884,12.7,  90.321, 3 321.385,4.7,  235.698,61.7,,,2.7,NSO,LFS,C,Youth: 15-24; Adult: 25+,
SY,Syrian Arab Republic,2007,M,  148.1, 1 129.6,13.1,  89.2, 3 423.8,5.0,  237.3,62.4, 2 121.0,7.0,2.6,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: September
SY,Syrian Arab Republic,2008,M,  180.652, 1 053.001,17.2,  199.24, 3 502.255,3.0,  379.892,47.6,,,5.7,NSO,LFS,C,Youth: 15-24; Adult: 25+,
SY,Syrian Arab Republic,2009,M,  118.084,  979.32,12.1,  145.592, 3 658.052,3.0,  263.676,44.8,,,4.0,NSO,LFS,C,Youth: 15-24; Adult: 25+,
SY,Syrian Arab Republic,2010,M,  161.034, 1 053.654,15.3,  108.491, 3 644.039,5.1,  269.525,59.7,,,3.0,NSO,LFS,C,Youth: 15-24; Adult: 25+,Reference period: January to June
TZ,"Tanzania, United Republic of",1991,M,  104.635, 1 551.729,6.7,  38.498, 3 710.532,6.5,  143.133,73.1, 2 081.001,5.0,1.0,NSO,LFS,T,Youth: 15-24; Adult: 25+,Geographic limitation: Tanzania mainland excluding Zanzibar
TZ,"Tanzania, United Republic of",2006 b,M,  181.6, 2 457.959,7.4,  92.9, 6 596.213,5.2,  274.5,66.2,,,1.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TH,Thailand,1980,M,  71.7, 3 932.5,1.8,  49.1, 8 054.4,3.0,  120.8,59.4,,,0.6,LABORSTA,HS,C,Youth: 11-24; Adult: 25+,Reference period: Second round (July to September)
TH,Thailand,1981,M,  102.4,,,  65.1,,,  167.5,61.1,,,,LABORSTA,HS,C,Youth: 11-24; Adult: 25+,Reference period: Second round
TH,Thailand,1982,M,  171.8, 4 803.1,3.6,  128.5, 8 696.0,2.4,  300.3,57.2, 7 814.0,2.2,1.5,LABORSTA,HS,C,Youth: 11-24; Adult: 25+,Reference period: Second round
TH,Thailand,1983,M,  329.4,,,  185.2,,,  514.6,64.0,,,,LABORSTA,HS,C,Youth: 11-24; Adult: 25+,Reference period: Second round
TH,Thailand,1984,M,  382.9, 4 912.5,7.8,  157.4, 9 273.1,4.6,  540.3,70.9, 8 126.2,4.7,1.7,LABORSTA,HS,C,Youth: 11-24; Adult: 25+,Reference period: Second round
TH,Thailand,1985,M,  411.2,,,  190.0,,,  601.2,68.4,,,,LABORSTA,HS,C,Youth: 11-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1986,M,  280.8,,,  182.7,,,  463.5,60.6,,,,LABORSTA,HS,C,Youth: 11-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1987 b,M,  432.6, 4 734.4,9.1,  204.5, 10 337.0,4.6,  637.1,67.9, 5 980.6,7.2,2.0,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1988,M,  242.6, 4 841.6,5.0,  164.0, 10 708.3,3.3,  406.6,59.7, 6 069.7,4.0,1.5,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1989,M,  110.2, 5 019.2,2.2,  89.6, 11 061.4,2.7,  199.8,55.2, 6 136.7,1.8,0.8,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1990,M,  212.7, 4 922.1,4.3,  120.3, 11 476.4,4.1,  333.0,63.9, 6 192.3,3.4,1.0,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1991,M,  196.8,,,  140.9,,,  337.7,58.3,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1992,M,  126.2,,,  93.9,,,  220.1,57.3,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1993,M,  130.8,,,  83.6,,,  214.4,61.0,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1994,M,  108.8, 4 226.1,2.6,  83.6, 12 849.7,4.0,  192.4,56.5, 6 162.5,1.8,0.7,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1995,M,  89.2,,,  72.1,,,  161.3,55.3,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1996,M,  97.8, 3 796.1,2.6,  86.8, 14 058.2,4.2,  184.6,53.0, 5 890.7,1.7,0.6,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1997,M,  93.0, 3 668.5,2.5,  61.0, 14 524.6,6.0,  154.0,60.4, 5 819.1,1.6,0.4,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1998,M,  299.3, 3 635.1,8.2,  321.8, 14 575.6,3.7,  621.1,48.2, 5 876.3,5.1,2.2,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,1999,M,  280.2, 3 391.8,8.3,  263.5, 14 820.5,4.6,  543.7,51.5, 5 855.3,4.8,1.8,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2000,M,  236.4, 3 365.9,7.0,  215.7, 15 210.9,5.0,  452.1,52.3, 5 822.7,4.1,1.4,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2001,M,  275.0, 3 499.1,7.9,  236.1, 15 522.6,5.2,  511.1,53.8, 5 788.9,4.8,1.5,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2002,M,  217.1,,,  155.0,,,  372.1,58.3,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2003,M,  162.9, 3 293.0,4.9,  151.9, 16 133.6,5.3,  314.8,51.7, 5 700.1,2.9,0.9,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2004,M,  156.3, 3 370.5,4.6,  168.0, 16 669.6,4.6,  324.3,48.2, 5 712.7,2.7,1.0,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2005,M,  152.0, 3 098.4,4.9,  137.9, 16 676.5,5.9,  289.9,52.4, 5 380.6,2.8,0.8,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2006,M,  136.0, 3 064.0,4.4,  123.6, 16 860.1,6.1,  259.6,52.4, 5 373.1,2.5,0.7,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2007,M,  139.2, 3 044.7,4.6,  118.9, 17 202.6,6.6,  258.1,53.9, 5 368.1,2.6,0.7,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
TH,Thailand,2008,M,  148.2, 3 066.8,4.8,  119.9, 17 624.301,7.1,  268.1,55.3, 5 370.9,2.8,0.7,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: Third quarter
TH,Thailand,2009 b,M,  112.88, 3 069.52,3.7,  140.85, 17 987.641,4.7,  253.73,44.5, 5 360.035,2.1,0.8,NSO,LFS,C,Youth: 15-24; Adult: 25+,
TO,Tonga,1996,M,  1.716,  5.361,32.0,  1.577,  16.334,3.3,  3.293,52.1,  9.938,17.3,9.7,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,
TO,Tonga,2003 b,M,  0.409,  4.14,9.9,  0.348,  17.035,4.8,  0.757,54.0,,,2.0,NSO,HS,C,Youth: 15-24; Adult: 25+,Reference period: Year beginning in August of the year indicated
TT,Trinidad and Tobago,1980,M,  14.5,,,  8.9,,,  23.4,62.0,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Second semester
TT,Trinidad and Tobago,1981,M,  16.6,  92.0,18.0,  8.9,  203.2,4.1,  25.5,65.1,  126.5,13.1,4.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,1982,M,  15.7,,,  8.5,,,  24.2,64.9,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,1983,M,  17.8,  92.6,19.2,  9.8,  211.2,4.1,  27.6,64.5,  124.4,14.3,4.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,1984,M,  22.0,,,  15.6,,,  37.6,58.5,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,1985,M,  26.7,  92.3,28.9,  19.7,  217.7,3.2,  46.4,57.5,  126.1,21.2,9.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,1986,M,  26.3,  84.3,31.2,  25.2,  230.9,2.9,  51.5,51.1,  120.6,21.8,10.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,1987 b,M,  30.2,  80.425,37.6,  35.5,  171.85,1.8,  65.7,46.0,  129.816,23.3,20.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1988,M,  29.1,  77.8,37.4,  37.6,  237.1,2.4,  66.7,43.6,  115.599,25.2,15.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1989,M,  27.7,  75.1,36.9,  37.1,  236.6,2.4,  64.8,42.7,  117.953,23.5,15.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1990,M,  24.3,  73.5,33.1,  30.8,  234.8,2.5,  55.1,44.1,  115.9,21.0,13.1,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1991,M,  20.8,  70.9,29.3,  28.8,  244.3,2.5,  49.6,41.9,  114.0,18.2,11.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1992,M,  21.8,,,  32.5,,,  54.3,40.1,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1993,M,  20.1,  68.0,29.6,  36.1,  249.8,2.0,  56.2,35.8,  114.8,17.5,14.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1994,M,  20.0,,,  31.5,,,  51.5,38.8,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1995,M,  19.7,  69.5,28.3,  30.0,  257.5,2.4,  49.7,39.6,  112.2,17.6,11.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1996,M,  16.9,  71.8,23.5,  26.3,  253.9,2.3,  43.2,39.1,  117.4,14.4,10.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1997,M,  16.7,,,  24.6,,,  41.3,40.4,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1998,M,  17.3,  74.2,23.3,  21.8,  270.4,2.9,  39.1,44.2,  121.5,14.2,8.1,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,1999,M,  16.7,  76.4,21.9,  21.1,  271.6,2.8,  37.8,44.2,  124.0,13.5,7.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,2000,M,  16.2,  79.7,20.3,  19.9,  273.5,2.8,  36.1,44.9,  130.3,12.4,7.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,2001,M,  14.4,,,  16.5,,,  30.9,46.6,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,2002,M,  12.4,  71.1,17.4,  15.3,  285.8,3.3,  27.7,44.8,  123.5,10.0,5.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,2003,M,  13.4,,,  16.5,,,  29.9,44.8,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,2004,M,  11.4,,,  11.9,,,  23.3,48.9,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,2005,M,  10.0,  77.5,12.9,  11.2,  287.5,3.3,  21.2,47.2,  124.6,8.0,3.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Remark: Excluding the unemployed not previously employed
TT,Trinidad and Tobago,2006,M,  7.5,  74.7,10.0,  9.0,  290.3,3.2,  16.5,45.5,  123.5,6.1,3.1,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,2007,M,  6.9,  73.8,9.3,  7.5,  294.8,3.7,  14.4,47.9,  119.9,5.8,2.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TT,Trinidad and Tobago,2008,M,  6.0,  68.3,8.8,  6.9,  298.1,3.8,  12.9,46.5,  114.8,5.2,2.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,1989,M,  143.6,  463.2,31.0,  130.0, 1 403.0,3.3,  273.6,52.5,  812.4,17.7,9.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,1997,M,  158.0,  474.0,33.3,  191.4, 1 781.8,3.1,  349.4,45.2,  947.2,16.7,10.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,1999,M,  159.1,,,  185.5,,,  344.6,46.2,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,2000,M,  154.1,,,  193.2,,,  347.3,44.4,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,2001,M,  142.8,,,  198.5,,,  341.3,41.8,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,2002,M,  148.6,,,  203.0,,,  351.6,42.3,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,2003,M,  147.9,,,  186.8,,,  334.7,44.2,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
TN,Tunisia,2004,M,  131.5,,,  191.1,,,  322.6,40.8,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
